,name,company,year,price,kms_driven,fuel_type
259,Fennel Leaf,Fennel Leaf,2014,45,47.5,kg
260,Mint,Mint,2007,120,125.0,kg
261,Turnip A,Turnip A,2014,45,47.5,kg
262,Tamarind,Tamarind,2009,65,67.5,kg
263,Bamboo Shoot,Bamboo Shoot,2013,50,55.0,kg
264,Tofu,Tofu,2010,55,57.5,kg
265,Gundruk,Gundruk,2015,180,185.0,kg
266,Apple(Jholey),Apple(Jholey),2013,110,115.0,kg
267,Banana,Banana,2015,70,75.0,kg
268,Lime,Lime,2013,200,300.0,kg
269,Pomegranate,Pomegranate,2014,200,210.0,kg
270,Mango(Maldah),Mango(Maldah),2015,50,55.0,kg
